cidade;estado;area;num_quartos;num_banheiros;garagem;num_andares;aceita_animais;mobilia;valor_aluguel;valor_condominio;valor_iptu;valor_seguro_incendio
Belo Horizonte;MG;28;1;1;0;1;Nao;Sim;1100;550;0;15
Campinas;SP;25;1;1;0;3;Nao;Nao;1000;300;0;13
Sao Paulo;SP;45;2;1;1;9;Sim;Nao;1920;300;34;25
Belo Horizonte;MG;115;3;2;2;3;Sim;Nao;1950;450;133;26
Porto Alegre;RS;48;2;1;0;4;Sim;Nao;800;468;28;12
Sao Paulo;SP;150;3;3;8;1;Sim;Nao;8000;0;1084;121
Sao Paulo;SP;160;4;3;2;1;Sim;Nao;3800;0;250;58
Sao Paulo;SP;700;4;4;4;1;Sim;Nao;10000;0;21880;151
Sao Paulo;SP;340;4;6;4;11;Nao;Nao;7650;4800;1667;97
Rio De Janeiro;RJ;25;1;1;0;3;Sim;Nao;1513;561;0;7
Sao Paulo;SP;79;3;2;2;11;Sim;Nao;1290;652;90;17
Sao Paulo;SP;35;1;1;1;2;Sim;Nao;1600;530;134;21
Sao Paulo;SP;270;3;4;0;1;Sim;Nao;3500;0;165;45
Sao Paulo;SP;156;3;4;3;7;Nao;Nao;5000;1417;500;64
Sao Paulo;SP;50;1;1;1;8;Sim;Sim;2800;600;0;20
Sao Paulo;SP;60;1;1;2;2;Nao;Nao;1900;3398;288;25
Sao Paulo;SP;140;3;4;3;18;Sim;Nao;4000;1100;489;51
Sao Paulo;SP;53;1;1;0;2;Nao;Nao;1680;170;68;22
Sao Paulo;SP;200;4;4;4;1;Sim;Nao;4220;0;450;64
Belo Horizonte;MG;125;4;2;2;1;Nao;Nao;2100;1100;267;28
Sao Paulo;SP;160;3;4;3;1;Sim;Sim;9350;0;0;141
Campinas;SP;300;4;5;3;9;Sim;Nao;9500;1650;459;121
Belo Horizonte;MG;175;3;3;2;4;Sim;Sim;3700;400;205;50
Rio De Janeiro;RJ;158;3;2;2;14;Sim;Sim;8000;2000;445;104
Rio De Janeiro;RJ;110;3;2;1;4;Sim;Nao;2850;1200;259;37
Sao Paulo;SP;168;3;2;2;1;Sim;Nao;2500;0;152;38
Sao Paulo;SP;120;3;1;2;1;Nao;Nao;3500;0;117;53
Belo Horizonte;MG;230;4;3;4;7;Sim;Sim;15000;3100;1500;200
Sao Paulo;SP;255;3;4;2;10;Sim;Sim;6000;2600;500;77
Sao Paulo;SP;23;1;1;1;26;Sim;Nao;2300;472;59;30
Sao Paulo;SP;120;3;2;1;1;Nao;Nao;2500;870;160;32
Sao Paulo;SP;45;1;1;2;8;Sim;Nao;1800;695;170;23
Belo Horizonte;MG;154;3;2;1;1;Sim;Nao;2000;300;159;27
Rio De Janeiro;RJ;50;1;1;1;13;Nao;Sim;4520;0;0;59
Rio De Janeiro;RJ;104;3;2;2;4;Sim;Sim;7000;1549;337;91
Sao Paulo;SP;50;2;1;1;9;Sim;Nao;2430;978;124;31
Porto Alegre;RS;75;2;2;1;6;Sim;Nao;1400;383;117;21
Sao Paulo;SP;145;3;2;1;2;Sim;Sim;2000;1017;12;26
Sao Paulo;SP;211;3;5;3;12;Sim;Sim;7000;2500;750;89
Sao Paulo;SP;30;1;1;0;2;Nao;Nao;2060;0;0;27
Campinas;SP;170;4;3;1;10;Nao;Nao;3700;1470;0;47
Sao Paulo;SP;86;2;2;1;4;Sim;Nao;1900;690;93;25
Rio De Janeiro;RJ;230;3;4;3;10;Sim;Nao;3000;2000;556;39
Sao Paulo;SP;61;1;2;2;1;Nao;Sim;4000;2200;250;51
Sao Paulo;SP;383;4;4;5;11;Nao;Nao;3004;2189;709;39
Sao Paulo;SP;210;3;3;0;1;Sim;Nao;5500;0;734;83
Sao Paulo;SP;60;2;2;1;14;Nao;Sim;5650;916;59;72
Sao Paulo;SP;213;4;6;4;1;Sim;Sim;8500;3200;970;108
Porto Alegre;RS;93;2;2;3;6;Sim;Sim;3900;873;224;57
Sao Paulo;SP;50;1;1;1;20;Nao;Sim;5300;781;212;68
Sao Paulo;SP;149;2;3;3;21;Sim;Nao;4500;1603;883;58
Sao Paulo;SP;410;4;5;5;1;Sim;Nao;20000;0;0;254
Sao Paulo;SP;40;1;1;1;14;Sim;Sim;3175;474;105;41
Rio De Janeiro;RJ;46;1;1;0;11;Sim;Sim;1500;659;101;20
Sao Paulo;SP;378;4;4;8;1;Sim;Sim;10000;0;1334;151
Sao Paulo;SP;60;2;2;2;11;Sim;Sim;3800;760;132;49
Rio De Janeiro;RJ;180;2;3;1;3;Sim;Sim;8500;2500;700;110
Belo Horizonte;MG;70;2;2;2;1;Nao;Nao;1450;300;94;20
Sao Paulo;SP;68;2;1;1;9;Sim;Nao;2100;0;0;27
Rio De Janeiro;RJ;85;2;2;1;4;Sim;Nao;1800;763;78;24
Belo Horizonte;MG;140;4;2;2;2;Sim;Nao;2281;450;221;31
Belo Horizonte;MG;52;2;2;1;2;Nao;Nao;1650;360;86;22
Porto Alegre;RS;63;2;2;0;7;Nao;Sim;2600;400;109;38
Sao Paulo;SP;65;2;2;2;13;Sim;Sim;3300;1084;207;42
Belo Horizonte;MG;60;3;1;1;1;Sim;Nao;950;348;63;13
Belo Horizonte;MG;27;1;1;0;2;Nao;Nao;1167;0;334;16
Sao Paulo;SP;260;4;4;3;11;Nao;Nao;15000;3500;1417;191
Sao Paulo;SP;44;1;1;1;13;Sim;Nao;1200;400;0;16
Sao Paulo;SP;170;3;3;2;1;Sim;Nao;4850;0;334;73
Sao Paulo;SP;118;3;2;1;11;Nao;Nao;4775;1116;185;61
Sao Paulo;SP;114;3;2;2;9;Sim;Nao;3780;900;100;48
Belo Horizonte;MG;154;4;2;2;2;Sim;Nao;2800;1465;305;38
Rio De Janeiro;RJ;108;3;1;1;3;Nao;Sim;15000;2300;334;194
Sao Paulo;SP;147;3;2;2;4;Sim;Sim;3600;1313;414;46
Sao Paulo;SP;365;3;4;3;15;Sim;Nao;12000;3700;1250;153
Porto Alegre;RS;109;3;2;1;2;Sim;Sim;2423;681;193;36
Belo Horizonte;MG;148;3;3;2;3;Sim;Sim;2500;284;104;34
Sao Paulo;SP;250;3;4;2;1;Sim;Nao;6000;0;75;91
Campinas;SP;79;2;1;1;3;Nao;Nao;1000;245;25;13
Rio De Janeiro;RJ;66;2;1;1;9;Sim;Nao;2400;997;179;31
Campinas;SP;54;1;1;1;6;Nao;Nao;1370;0;31;18
Campinas;SP;87;3;1;1;6;Sim;Nao;1200;730;64;16
Sao Paulo;SP;640;4;4;4;12;Sim;Sim;10200;5400;1584;130
Sao Paulo;SP;71;2;1;0;3;Sim;Sim;1040;613;0;14
Sao Paulo;SP;35;1;1;1;6;Nao;Sim;1250;886;90;16
Sao Paulo;SP;57;2;2;1;2;Nao;Sim;2300;584;50;30
Sao Paulo;SP;38;1;1;0;8;Nao;Nao;1220;480;25;16
Rio De Janeiro;RJ;70;2;2;1;3;Sim;Nao;3700;990;122;48
Sao Paulo;SP;350;2;4;8;1;Nao;Nao;3300;0;450;50
Rio De Janeiro;RJ;300;4;3;2;5;Nao;Sim;12000;2500;750;155
Porto Alegre;RS;80;2;2;0;8;Sim;Nao;1320;430;121;20
Rio De Janeiro;RJ;160;3;3;1;4;Sim;Nao;2900;1050;317;38
Porto Alegre;RS;117;3;2;2;10;Sim;Nao;5500;1564;167;81
Porto Alegre;RS;112;3;2;2;3;Sim;Sim;4100;800;100;60
Rio De Janeiro;RJ;100;2;2;1;1;Sim;Nao;1870;0;0;29
Rio De Janeiro;RJ;160;4;2;1;2;Sim;Nao;4230;1500;0;55
Porto Alegre;RS;68;2;1;0;3;Sim;Nao;700;270;19;11
Sao Paulo;SP;530;4;4;4;4;Nao;Nao;5000;3857;1636;64
Sao Paulo;SP;210;3;2;2;1;Sim;Sim;3500;0;101;53
Rio De Janeiro;RJ;33;1;1;0;8;Nao;Sim;3300;600;100;25
Sao Paulo;SP;40;2;1;0;3;Sim;Nao;1100;348;0;14
Belo Horizonte;MG;200;5;5;8;1;Sim;Nao;6000;0;1017;99
Sao Paulo;SP;58;2;1;2;10;Sim;Nao;1360;383;0;18
Sao Paulo;SP;120;3;3;2;6;Sim;Nao;3400;1800;134;44
Sao Paulo;SP;162;3;4;0;1;Sim;Nao;3200;0;267;49
Sao Paulo;SP;301;4;5;4;3;Sim;Sim;12500;4265;1600;159
Sao Paulo;SP;40;1;1;0;1;Nao;Nao;1800;150;38;23
Rio De Janeiro;RJ;45;1;1;0;5;Sim;Nao;1000;750;34;13
Rio De Janeiro;RJ;135;3;2;1;2;Sim;Nao;3060;1940;428;40
Sao Paulo;SP;135;3;2;1;4;Sim;Nao;3290;1378;279;42
Porto Alegre;RS;102;3;2;2;8;Sim;Sim;5525;1125;225;81
Sao Paulo;SP;76;2;2;2;6;Sim;Nao;1400;978;123;18
Sao Paulo;SP;180;4;1;1;13;Sim;Nao;8500;2420;400;108
Belo Horizonte;MG;72;2;2;1;1;Sim;Nao;1250;0;66;21
Sao Paulo;SP;128;2;3;1;4;Sim;Nao;4339;755;85;55
Campinas;SP;60;3;2;0;2;Sim;Nao;2362;350;88;30
Sao Paulo;SP;44;1;1;0;4;Sim;Sim;2500;450;30;32
Sao Paulo;SP;189;3;3;1;12;Sim;Nao;5800;2143;371;74
Porto Alegre;RS;450;6;2;8;1;Sim;Nao;4000;0;197;72
Sao Paulo;SP;286;4;4;5;1;Sim;Nao;10800;0;1125;163
Sao Paulo;SP;276;4;6;4;10;Sim;Sim;4500;3450;1713;58
Sao Paulo;SP;60;1;2;1;9;Nao;Sim;3800;844;0;49
Sao Paulo;SP;40;1;1;0;1;Nao;Nao;880;0;48;14
Rio De Janeiro;RJ;57;2;2;1;4;Sim;Nao;1800;600;0;24
Campinas;SP;45;1;1;1;3;Sim;Nao;600;521;38;8
Sao Paulo;SP;42;1;1;1;12;Nao;Sim;3500;712;22;45
Rio De Janeiro;RJ;68;2;1;1;2;Sim;Nao;1100;560;42;15
Rio De Janeiro;RJ;120;3;2;1;4;Sim;Nao;4800;1650;355;62
Sao Paulo;SP;360;4;4;2;4;Sim;Nao;11050;3340;0;141
Sao Paulo;SP;140;2;1;0;1;Sim;Nao;1650;0;167;25
Sao Paulo;SP;35;1;1;0;1;Sim;Nao;1100;0;30;14
Sao Paulo;SP;16;1;1;0;1;Nao;Nao;910;0;0;12
Campinas;SP;110;3;1;1;13;Sim;Nao;1100;780;108;9
Campinas;SP;69;2;1;1;7;Nao;Nao;980;485;60;13
Belo Horizonte;MG;59;2;2;0;2;Nao;Sim;1400;510;112;19
Sao Paulo;SP;336;4;4;6;1;Sim;Nao;7677;0;950;116
Sao Paulo;SP;210;4;4;3;5;Sim;Sim;5000;2800;917;64
Sao Paulo;SP;242;4;5;4;4;Sim;Sim;12000;3270;930;153
Porto Alegre;RS;28;1;1;0;4;Sim;Nao;550;350;21;9
Sao Paulo;SP;220;4;3;3;2;Nao;Sim;9000;4208;1203;115
Porto Alegre;RS;62;3;2;1;1;Nao;Nao;1629;485;54;24
Rio De Janeiro;RJ;111;3;2;2;11;Sim;Sim;3500;1100;325;46
Campinas;SP;159;3;2;2;1;Sim;Nao;2500;1000;334;32
Rio De Janeiro;RJ;70;2;2;0;5;Sim;Sim;2250;690;100;29
Sao Paulo;SP;150;3;2;2;2;Sim;Nao;2000;1181;384;26
Sao Paulo;SP;50;1;1;1;17;Sim;Sim;4000;776;126;51
Sao Paulo;SP;450;3;3;8;1;Sim;Sim;5015;0;400;76
Belo Horizonte;MG;64;2;1;1;2;Sim;Nao;850;252;78;12
Sao Paulo;SP;600;5;7;5;1;Sim;Nao;5200;0;155;79
Sao Paulo;SP;70;1;1;0;8;Sim;Nao;3200;430;109;41
Sao Paulo;SP;76;3;2;0;6;Sim;Nao;1240;1160;95;16
Sao Paulo;SP;280;3;3;4;1;Sim;Nao;6520;0;834;99
Sao Paulo;SP;172;2;4;3;23;Sim;Nao;11000;1400;775;140
Sao Paulo;SP;246;3;4;4;3;Sim;Sim;12000;3800;750;153
Sao Paulo;SP;64;2;1;1;8;Sim;Nao;1500;400;101;20
Belo Horizonte;MG;30;1;1;0;2;Nao;Nao;550;0;0;8
Sao Paulo;SP;80;3;2;1;1;Sim;Nao;2170;0;47;33
Rio De Janeiro;RJ;87;3;1;1;7;Sim;Nao;1800;786;159;24
Porto Alegre;RS;50;1;1;1;7;Sim;Nao;800;250;0;12
Porto Alegre;RS;50;1;1;0;6;Sim;Nao;800;400;20;12
Sao Paulo;SP;30;1;1;0;1;Nao;Nao;1850;0;167;28
Sao Paulo;SP;43;1;1;0;6;Sim;Nao;1472;219;42;6
Sao Paulo;SP;300;3;4;0;1;Sim;Sim;10000;0;2000;151
Campinas;SP;58;1;2;1;10;Nao;Nao;750;850;40;10
Sao Paulo;SP;30;1;1;1;14;Nao;Nao;1660;1379;18;22
Sao Paulo;SP;54;2;1;0;2;Nao;Nao;1700;571;135;22
Rio De Janeiro;RJ;80;2;2;1;2;Nao;Nao;3500;1050;167;46
Porto Alegre;RS;62;2;2;1;10;Sim;Nao;1600;480;9;24
Porto Alegre;RS;66;2;2;0;3;Sim;Nao;1200;550;50;18
Sao Paulo;SP;80;2;2;1;2;Sim;Nao;1500;400;36;20
Sao Paulo;SP;560;4;4;7;2;Sim;Nao;15000;8600;5000;191
Sao Paulo;SP;30;1;1;1;5;Sim;Sim;3900;500;84;50
Sao Paulo;SP;50;1;1;0;1;Sim;Nao;1600;0;0;25
Rio De Janeiro;RJ;81;2;2;1;8;Sim;Sim;3500;615;225;46
Sao Paulo;SP;218;4;4;4;3;Nao;Nao;4930;2488;1454;63
Campinas;SP;54;2;1;2;6;Sim;Nao;1200;300;46;16
Rio De Janeiro;RJ;60;2;1;0;1;Nao;Nao;1200;0;0;19
Belo Horizonte;MG;100;3;1;1;2;Sim;Nao;1200;150;0;16
Sao Paulo;SP;156;2;3;2;8;Sim;Sim;13590;2040;292;173
Sao Paulo;SP;300;3;4;3;1;Sim;Sim;4000;3000;0;51
Sao Paulo;SP;39;1;1;1;3;Nao;Sim;2500;680;115;32
Sao Paulo;SP;150;4;3;4;1;Sim;Nao;3000;0;500;46
Sao Paulo;SP;140;2;3;4;10;Sim;Sim;6170;2300;417;79
Sao Paulo;SP;240;4;4;3;1;Sim;Nao;4200;2800;792;54
Sao Paulo;SP;70;2;1;0;1;Sim;Nao;1300;0;70;20
Campinas;SP;462;4;7;4;1;Sim;Nao;5000;0;590;76
Campinas;SP;67;3;1;1;1;Nao;Nao;890;351;40;12
Belo Horizonte;MG;100;2;1;0;1;Sim;Nao;1200;0;63;20
Belo Horizonte;MG;113;3;3;1;1;Sim;Nao;1100;350;88;15
Sao Paulo;SP;99;3;2;1;3;Sim;Nao;2500;390;;32
Sao Paulo;SP;120;2;1;1;1;Sim;Nao;2100;0;175;32
Sao Paulo;SP;110;3;2;3;1;Sim;Nao;2600;0;400;40
Porto Alegre;RS;38;1;1;1;5;Sim;Nao;980;342;51;15
Campinas;SP;100;3;1;1;7;Sim;Nao;1090;999;94;14
Rio De Janeiro;RJ;135;4;2;2;7;Sim;Nao;4200;1378;468;55
Rio De Janeiro;RJ;130;3;2;1;10;Sim;Sim;3250;1338;450;42
Belo Horizonte;MG;80;3;2;1;1;Sim;Nao;1200;305;122;16
Sao Paulo;SP;300;3;2;5;1;Sim;Nao;11500;0;2000;173
Belo Horizonte;MG;72;2;1;2;4;Nao;Nao;1300;195;97;18
Sao Paulo;SP;70;3;2;2;3;Sim;Nao;1659;1058;44;22
Sao Paulo;SP;395;4;4;3;16;Sim;Sim;15000;2137;834;191
Porto Alegre;RS;540;6;8;3;1;Sim;Nao;15000;0;467;267
Sao Paulo;SP;318;4;6;4;13;Sim;Sim;10160;3450;0;129
Belo Horizonte;MG;42;2;1;1;5;Sim;Nao;900;170;27;12
Rio De Janeiro;RJ;52;1;1;1;1;Sim;Nao;1400;613;22;19
Sao Paulo;SP;167;3;2;1;7;Sim;Nao;10850;1787;532;138
Sao Paulo;SP;50;1;1;0;6;Nao;Nao;1209;467;129;8
Campinas;SP;65;2;2;1;4;Nao;Nao;1000;412;45;13
Sao Paulo;SP;140;4;4;3;5;Sim;Nao;3600;1800;583;46
Sao Paulo;SP;92;3;1;1;3;Sim;Nao;1600;340;4;21
Belo Horizonte;MG;150;4;3;3;5;Nao;Nao;3300;1200;293;44
Campinas;SP;60;1;1;0;3;Sim;Nao;1300;250;75;17
Belo Horizonte;MG;308;4;5;6;18;Sim;Sim;13500;2000;173;180
Sao Paulo;SP;159;2;3;1;8;Nao;Sim;3230;1276;49;41
Sao Paulo;SP;240;3;5;4;1;Sim;Nao;7500;0;459;113
Porto Alegre;RS;65;3;2;0;5;Nao;Nao;1690;450;86;25
Sao Paulo;SP;200;3;2;2;1;Sim;Nao;5000;0;167;76
Campinas;SP;130;3;5;2;2;Sim;Nao;3610;1170;209;46
Rio De Janeiro;RJ;21;1;1;0;11;Sim;Nao;1200;519;0;16
Sao Paulo;SP;68;2;1;1;5;Sim;Nao;1600;525;142;21
Porto Alegre;RS;40;1;1;0;4;Sim;Nao;900;450;38;14
Belo Horizonte;MG;310;4;3;6;1;Sim;Nao;3100;0;187;51
Campinas;SP;103;2;1;1;4;Nao;Nao;1060;635;84;14
Rio De Janeiro;RJ;650;5;7;4;1;Sim;Sim;15000;4100;4241;229
Campinas;SP;30;1;1;0;5;Nao;Sim;500;380;10;7
Belo Horizonte;MG;155;4;5;3;5;Nao;Nao;5000;1200;593;67
Sao Paulo;SP;107;2;2;1;1;Sim;Nao;2600;400;0;33
Sao Paulo;SP;340;4;5;5;16;Sim;Sim;12000;5200;3400;153
Belo Horizonte;MG;70;3;1;0;3;Nao;Nao;1200;275;104;16
Belo Horizonte;MG;58;2;2;1;4;Sim;Nao;950;310;86;13
Sao Paulo;SP;70;3;2;1;6;Nao;Sim;3300;569;159;42
Sao Paulo;SP;240;3;3;0;1;Sim;Nao;4300;300;292;65
Rio De Janeiro;RJ;130;3;2;1;5;Sim;Nao;2800;1300;300;37
Sao Paulo;SP;310;5;6;5;5;Sim;Nao;10000;6900;1834;127
Rio De Janeiro;RJ;60;1;1;1;10;Sim;Nao;1300;731;54;17
Sao Paulo;SP;319;4;6;5;16;Nao;Nao;10050;5000;2900;128
Porto Alegre;RS;81;2;1;0;2;Sim;Nao;1150;350;5;17
Belo Horizonte;MG;306;3;5;0;1;Sim;Nao;8000;0;0;132
Sao Paulo;SP;113;2;2;1;6;Sim;Nao;3000;1000;50;39
Sao Paulo;SP;280;3;4;2;3;Nao;Nao;6000;4000;1059;77
Sao Paulo;SP;270;3;3;3;16;Sim;Nao;13000;2800;959;165
Sao Paulo;SP;78;2;1;1;7;Sim;Nao;2000;645;35;26
Sao Paulo;SP;60;1;2;1;1;Sim;Nao;1500;0;30;23
Sao Paulo;SP;30;1;1;0;1;Sim;Nao;750;0;59;12
Rio De Janeiro;RJ;58;2;1;1;10;Sim;Nao;800;594;77;11
Rio De Janeiro;RJ;65;1;1;0;2;Sim;Nao;1800;350;30;24
Sao Paulo;SP;58;1;1;1;1;Nao;Nao;1740;580;75;23
Sao Paulo;SP;22;1;1;0;25;Sim;Nao;2100;385;40;27
Sao Paulo;SP;32;1;1;1;13;Nao;Sim;3200;811;174;41
Campinas;SP;176;3;5;3;3;Sim;Nao;5200;1350;442;66
Belo Horizonte;MG;350;7;5;4;1;Sim;Nao;7500;0;357;123
Sao Paulo;SP;260;4;4;2;5;Sim;Sim;4400;2570;584;56
Sao Paulo;SP;100;2;1;0;1;Sim;Nao;2300;0;198;35
Rio De Janeiro;RJ;65;1;1;0;10;Nao;Sim;3500;750;142;46
Rio De Janeiro;RJ;600;7;6;1;12;Nao;Sim;15000;1300;1167;194
Rio De Janeiro;RJ;300;4;3;1;1;Sim;Nao;5000;0;367;77
Sao Paulo;SP;430;4;3;4;1;Sim;Nao;8500;0;1427;128
Sao Paulo;SP;260;5;5;4;20;Nao;Nao;8000;4000;2620;102
Belo Horizonte;MG;211;3;4;3;1;Nao;Nao;8400;0;292;138
Campinas;SP;103;3;2;1;9;Nao;Nao;1800;885;113;23
Porto Alegre;RS;62;2;2;0;2;Sim;Nao;1556;400;100;23
Rio De Janeiro;RJ;80;2;2;1;1;Sim;Sim;3499;1100;205;46
Sao Paulo;SP;60;1;1;1;1;Nao;Nao;1180;0;0;18
Sao Paulo;SP;27;1;1;0;5;Nao;Nao;3500;1404;1;45
Sao Paulo;SP;486;4;6;5;8;Nao;Nao;4861;4614;3772;62
Sao Paulo;SP;40;1;1;1;12;Sim;Sim;1680;480;102;22
Rio De Janeiro;RJ;60;2;1;0;7;Sim;Sim;2800;806;97;37
Rio De Janeiro;RJ;64;2;2;0;10;Sim;Nao;2200;665;104;29
Campinas;SP;660;5;7;4;17;Sim;Nao;10000;5381;1100;127
Sao Paulo;SP;62;3;2;1;5;Sim;Nao;2400;487;54;31
Porto Alegre;RS;50;2;1;1;3;Sim;Nao;946;180;0;14
Sao Paulo;SP;380;3;4;4;1;Sim;Nao;8000;0;952;121
Campinas;SP;134;3;3;2;7;Nao;Nao;2500;1000;177;32
Sao Paulo;SP;74;2;2;0;4;Sim;Sim;3600;1105;210;46
Belo Horizonte;MG;68;2;2;1;5;Sim;Sim;2500;1183;207;34
Rio De Janeiro;RJ;33;1;1;0;2;Sim;Nao;1600;470;72;21
Sao Paulo;SP;60;2;1;0;1;Sim;Nao;1100;0;0;17
Sao Paulo;SP;50;1;1;1;25;Nao;Sim;3700;707;30;47
Sao Paulo;SP;57;2;2;2;6;Sim;Nao;1630;834;189;21
Sao Paulo;SP;39;1;1;1;4;Sim;Nao;995;529;49;13
Porto Alegre;RS;45;1;1;1;1;Nao;Nao;760;30;0;12
Sao Paulo;SP;221;3;2;2;7;Sim;Nao;4500;1980;200;58
Sao Paulo;SP;140;3;2;0;8;Sim;Sim;1799;2500;375;23
Rio De Janeiro;RJ;650;5;4;2;9;Sim;Nao;9000;5718;1431;116
Sao Paulo;SP;210;5;4;1;1;Sim;Nao;15000;0;1667;226
Belo Horizonte;MG;100;4;2;3;10;Sim;Nao;2600;1027;238;35
Rio De Janeiro;RJ;220;3;3;2;4;Sim;Sim;9000;2500;367;116
Sao Paulo;SP;42;1;1;0;1;Sim;Nao;1150;400;27;15
Rio De Janeiro;RJ;98;3;2;0;7;Sim;Nao;3000;891;185;39
Rio De Janeiro;RJ;150;3;1;2;2;Sim;Nao;5200;3290;710;68
Sao Paulo;SP;170;3;3;4;1;Sim;Nao;3500;0;222;53
Sao Paulo;SP;60;2;1;0;1;Sim;Nao;1610;1;0;25
Sao Paulo;SP;120;3;4;2;1;Sim;Nao;3450;187;149;52
Sao Paulo;SP;142;2;3;2;18;Sim;Nao;3550;1400;492;45
Porto Alegre;RS;90;2;2;1;18;Nao;Nao;2500;500;84;37
Sao Paulo;SP;140;3;3;2;3;Sim;Nao;6000;2400;500;77
Rio De Janeiro;RJ;26;1;1;0;3;Sim;Nao;1200;325;26;16
Sao Paulo;SP;20;1;1;0;1;Nao;Nao;790;0;0;11
Porto Alegre;RS;24;1;1;1;1;Nao;Nao;550;0;0;9
Rio De Janeiro;RJ;140;3;2;0;5;Sim;Nao;2900;350;194;38
Belo Horizonte;MG;134;4;2;3;1;Nao;Nao;3000;650;313;40
Sao Paulo;SP;400;5;4;2;12;Sim;Nao;2000;2675;832;26
Rio De Janeiro;RJ;18;1;1;0;3;Sim;Nao;650;628;49;9
Rio De Janeiro;RJ;62;1;1;1;8;Sim;Nao;2800;1550;182;37
Sao Paulo;SP;192;3;3;3;16;Sim;Sim;6500;1790;630;83
Sao Paulo;SP;80;3;2;1;6;Sim;Nao;1790;850;128;23
Porto Alegre;RS;38;1;1;1;9;Sim;Nao;2900;350;42;43
Belo Horizonte;MG;112;2;3;2;10;Sim;Nao;1400;442;92;19
Rio De Janeiro;RJ;15;1;1;0;1;Nao;Nao;1100;500;0;15
Sao Paulo;SP;29;1;1;0;5;Sim;Nao;1043;257;0;14
Belo Horizonte;MG;55;2;1;1;1;Sim;Nao;1050;200;0;14
Sao Paulo;SP;88;3;1;2;5;Sim;Nao;2500;1900;84;32
Sao Paulo;SP;100;4;1;0;1;Sim;Nao;1600;0;100;25
Belo Horizonte;MG;92;3;2;1;1;Sim;Nao;1800;268;141;24
Rio De Janeiro;RJ;154;4;2;2;2;Sim;Nao;4250;1850;313;55
Sao Paulo;SP;240;4;3;3;6;Sim;Nao;12000;2850;700;153
Porto Alegre;RS;28;1;1;0;1;Sim;Sim;1340;0;4;20
Sao Paulo;SP;50;1;1;0;1;Nao;Nao;1250;0;34;19
Sao Paulo;SP;180;3;3;2;4;Sim;Nao;8000;2100;413;102
Sao Paulo;SP;35;1;1;0;3;Nao;Nao;850;150;0;11
Rio De Janeiro;RJ;64;2;1;1;2;Sim;Nao;3500;0;0;46
Sao Paulo;SP;60;2;1;1;8;Sim;Nao;1310;550;5;17
Sao Paulo;SP;239;4;4;3;1;Sim;Sim;5950;0;500;90
Sao Paulo;SP;130;3;2;1;10;Nao;Sim;2300;1100;109;30
Campinas;SP;85;2;2;0;6;Nao;Nao;918;810;98;12
Rio De Janeiro;RJ;75;2;2;1;9;Sim;Sim;2000;650;310;26
Sao Paulo;SP;90;2;2;1;1;Sim;Nao;1800;0;0;28
Belo Horizonte;MG;100;3;1;1;2;Sim;Nao;1500;300;85;20
Sao Paulo;SP;70;2;2;1;1;Nao;Nao;1450;670;0;19
Rio De Janeiro;RJ;86;3;1;0;3;Sim;Nao;1258;800;80;17
Rio De Janeiro;RJ;29;1;1;0;2;Sim;Nao;1500;484;26;20
Porto Alegre;RS;82;2;2;1;5;Sim;Nao;1700;450;67;25
Sao Paulo;SP;55;2;1;1;5;Sim;Nao;1625;640;0;21
Porto Alegre;RS;47;1;1;1;1;Nao;Sim;2200;400;0;33
Sao Paulo;SP;33;1;1;0;15;Nao;Nao;4000;550;0;51
Campinas;SP;50;1;1;1;11;Nao;Nao;1800;650;130;23
Sao Paulo;SP;159;4;2;0;3;Sim;Nao;1900;2064;634;25
Belo Horizonte;MG;62;3;2;1;4;Nao;Nao;1100;230;63;15
Sao Paulo;SP;80;2;1;2;1;Sim;Nao;1569;0;0;24
Sao Paulo;SP;170;3;4;3;21;Sim;Nao;5000;1500;450;64
Porto Alegre;RS;68;2;2;1;1;Sim;Nao;1800;400;82;27
Sao Paulo;SP;300;4;4;3;1;Sim;Sim;5080;0;284;77
Porto Alegre;RS;50;2;1;1;2;Sim;Nao;1460;100;0;22
Rio De Janeiro;RJ;80;2;2;1;10;Sim;Nao;2000;824;279;26
Porto Alegre;RS;40;2;1;1;3;Sim;Nao;820;300;32;12
Sao Paulo;SP;270;3;4;2;6;Sim;Nao;6500;2890;100;83
Porto Alegre;RS;75;3;1;1;1;Sim;Nao;1100;360;47;17
Porto Alegre;RS;60;1;2;2;15;Sim;Nao;2800;500;17;41
Sao Paulo;SP;300;4;5;4;1;Sim;Nao;7500;3600;1334;96
Belo Horizonte;MG;73;2;1;2;1;Sim;Nao;1200;150;62;16
Belo Horizonte;MG;85;2;1;1;1;Sim;Nao;1000;230;61;14
Sao Paulo;SP;100;3;3;1;1;Sim;Nao;2400;0;0;37
Porto Alegre;RS;49;1;1;0;7;Sim;Nao;680;310;21;10
Sao Paulo;SP;35;1;1;0;5;Sim;Sim;1800;420;0;23
Sao Paulo;SP;240;3;4;1;6;Nao;Nao;14850;1700;400;189
Sao Paulo;SP;45;1;1;0;1;Sim;Nao;900;0;0;14
Sao Paulo;SP;55;2;1;1;9;Sim;Sim;2800;565;0;36
Sao Paulo;SP;305;4;3;4;6;Sim;Sim;11000;3428;2134;140
Belo Horizonte;MG;622;5;5;6;1;Sim;Nao;10000;0;924;164
